,accuracy,y_true,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concavepoints_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concavepoints_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concavepoints_worst,symmetry_worst,fractal_dimension_worst
alpha_1e-15,[96.49122807017544],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0]",-0.15713925833917294,0.004218071532270177,0.019320683246209978,0.00011343695936050155,0.20787118184531111,-4.356634831350141,1.4833538276591944,1.4156093794637485,0.006512827999555318,0.2373787580322525,0.815964409843387,-0.010900441059950325,-0.06122144717744266,-0.001170626318982161,17.815094528616395,1.4877320305596147,-3.2566785594321632,6.848369173836447,0.9982045233237854,-12.88977034450734,0.15802070506265986,0.006679487690181179,-0.00035275432199648074,-0.0009078520951193609,0.6539078966553901,0.053261977335299325,0.3290919093582794,1.183800623960471,0.5298443534377955,4.0535797005515795
alpha_1e-10,[96.49122807017544],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0]",-0.15713334826011902,0.004218071031282369,0.019319914865024945,0.00011343037437676173,0.2078607676176772,-4.35661016580371,1.4833611067257655,1.4156090365602119,0.006510080037681416,0.23735371765079552,0.8159647363084261,-0.010900536989934251,-0.061221287500162216,-0.001170629830463204,17.81509019096858,1.4877333508025796,-3.2566823703410663,6.848336560598014,0.9982033664989693,-12.889757524699448,0.15801941845510942,0.0066794972159814415,-0.0003526723347830083,-0.0009078476101365786,0.6539131165954537,0.053259204546060056,0.3290916967239496,1.1838022456930477,0.5298452923968393,4.053586472851083
alpha_1e-08,[96.49122807017544],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0]",-0.15654824761153305,0.004218021434330025,0.019243844754464553,0.00011277845797987157,0.20682975403314402,-4.354168263157745,1.4840817364735492,1.4155750904178384,0.006238030275698485,0.2348747007171621,0.8159970564633684,-0.010910034079900545,-0.06120547940228996,-0.0011709774675309436,17.814660762337287,1.4878640537051921,-3.2570596507967418,6.845107833037593,0.998088840705988,-12.888488350128716,0.15789204363067544,0.006680440272790024,-0.00034455554830075666,-0.000907403594762482,0.6544298930789982,0.05298469675734292,0.32907064592740065,1.1839627977068514,0.5299382498432281,4.054256935035421
alpha_1e-05,[96.49122807017544],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0]",-0.0,0.004076107055083683,0.0,-8.453624659015374e-05,-0.0,-3.526955334156401,1.5752028603854757,1.3233308309556744,-0.052503820574773506,-0.9143085661467247,0.7711017389963443,-0.013231860630258621,-0.04262038510584087,-0.0015507814286207218,17.68259477075453,1.1962175913346584,-3.1951744113758003,5.247598964799464,0.6970400973721573,-10.666975674016253,0.12318270546771198,0.007058157577760846,0.0,-0.0007121770350910441,0.7790626229550738,0.0,0.32571816370544326,1.3251883356167022,0.5848877701385544,4.012964590069253
alpha_0.0001,[98.24561403508771],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0]",0.0003597731565790662,0.005785227381849602,0.0,-0.0,0.0,-1.8581544253114621,0.19183850287235452,2.097090548999887,-0.0,-6.148837630208792,0.5432532112061904,-0.0,-0.0,-0.002327623353615386,14.16281536851954,-0.07206665629507518,-1.551361586002708,0.0,0.0,-0.0,0.06687848312112514,0.005448117194929205,0.0,-0.0003075433697152755,1.1472608109490439,-0.0,0.345002360404994,1.7563339533148092,0.6507573763164592,2.7893837839058215
alpha_0.001,[96.49122807017544],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0]",0.0,0.0023079942199745076,0.0,0.0,0.0,0.0,0.0,0.661052445840883,0.0,-0.0,0.050766162569765405,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.03477542028131229,0.007924848687234615,0.0,0.0,0.9942355252954284,0.0,0.0,2.2955156803620835,0.35905804909937034,0.0
alpha_0.01,[80.7017543859649],"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.013443772136515018,0.0,0.0,0.0,0.0,0.0,0.0,1.606315878546346,0.0,0.0
alpha_0.1,[61.40350877192983],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_0.5,[61.40350877192983],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_1,[61.40350877192983],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
